web-scraper-order,web-scraper-start-url,name_raw,price_raw,country_raw,quantity_raw,value_raw
"1734709737-57","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709737-58","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709741-59","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709741-60","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709741-61","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709741-62","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709741-63","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709741-64","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709741-65","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709741-66","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709741-67","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709741-68","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709741-69","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709741-70","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
